schema_version,method,lattice,bath_budget,u_over_d,t_over_d,direction,quasiparticle_weight_slope,quasiparticle_weight_matsubara,double_occupancy,kinetic_energy_over_d,total_energy_over_d,sum_r_squared,self_energy_linear_term,iterations,convergence_diff,converged,crashed,mode_energies,mode_weights,self_energy_pole_positions,self_energy_pole_weights,wall_seconds,source_file
gdmft.reference.v1,gem-gga,bethe,1,2.75,0.001,down,0.34391609677200335,0.3439160968288528,0.04750251762628344,-0.14595409243096594,-0.01532216895868646,0.3439160968288528,-1.9076859420675567,28,9.262583958724591e-07,true,false,3.2551e-16,0.343916,,,0.58,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.75,0.001,up,0.34392036588447483,0.3439203653091198,0.047503113870200925,-0.14595590407675746,-0.015322340933704909,0.34392036530911985,-1.9076498540619649,28,7.996366327978066e-07,true,false,2.72883e-16,0.34392,,,0.5,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.8,0.001,down,0.31983304612851066,0.3198330452999155,0.043819439486803884,-0.13573263343787656,-0.013038202874825697,0.3198330452999156,-2.126631268080115,31,7.87552798975355e-07,true,false,3.18811e-16,0.319833,,,0.73,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.8,0.001,up,0.3198374923869484,0.3198374924293596,0.04382005561148636,-0.1357345209189832,-0.013038365206821403,0.31983749242935955,-2.1265877943339104,30,9.013925028611425e-07,true,false,2.8647e-16,0.319837,,,0.54,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.85,0.001,down,0.29531268347969303,0.2953126834870692,0.040135885076025106,-0.12532549202229673,-0.01093821955562517,0.2953126834870692,-2.386241282263743,34,7.764660441278437e-07,true,false,4.45147e-17,0.295313,,,0.69,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.85,0.001,up,0.29531726517182927,0.2953172655121351,0.040136514639937296,-0.12532743677294822,-0.010938370049126928,0.29531726551213516,-2.386188742692757,33,8.524740026105704e-07,true,false,1.09977e-16,0.295317,,,0.6,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.9,0.001,down,0.27035355850204745,0.2703535591868097,0.036451665798372876,-0.1147320260149128,-0.009022195199631461,0.2703535591868097,-2.698860126006394,37,8.854662133517266e-07,true,false,1.19737e-16,0.270354,,,0.73,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.9,0.001,up,0.2703590368715216,0.2703590367147311,0.03645241211152485,-0.11473435086958629,-0.009022355746164237,0.2703590367147311,-2.698785186363674,36,9.298531555845813e-07,true,false,1.27183e-16,0.270359,,,0.66,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.95,0.001,down,0.2449539112381605,0.24495391091217866,0.03276655655240545,-0.10395145032793598,-0.007290108498339901,0.24495391091217866,-3.0824006290657753,41,9.387562137086469e-07,true,false,1.05076e-16,0.244954,,,0.8,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.95,0.001,up,0.24496001808523815,0.2449600180580131,0.032767381629258296,-0.10395404245266086,-0.007290266646348881,0.24496001805801315,-3.0822988499420054,40,9.384979364202017e-07,true,false,2.48291e-16,0.24496,,,0.73,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.0,0.001,down,0.21910978175157889,0.2191097819287936,0.02908004396222987,-0.09298202905283338,-0.005741897166143775,0.21910978192879366,-3.5639222092100855,46,9.95809416981519e-07,true,false,1.59716e-16,0.21911,,,0.91,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.0,0.001,up,0.2191166241894958,0.21911662378024255,0.02908096043479313,-0.09298493307657472,-0.0057420517721953335,0.21911662378024255,-3.5637797020956503,45,9.423853433720986e-07,true,false,1.49607e-16,0.219117,,,0.86,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.05,0.001,down,0.1928147643158616,0.1928147644392043,0.025391303281578202,-0.08182095288558607,-0.004377477876772548,0.1928147644392043,-4.186324827916931,53,9.638271774026208e-07,true,false,1.10025e-16,0.192815,,,1.03,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.05,0.001,up,0.19282179293926052,0.19282179328502197,0.025392236738108708,-0.08182393636837339,-0.004377614317141829,0.19282179328502197,-4.186135773158366,52,8.560358206732843e-07,true,false,1.51205e-16,0.192822,,,0.94,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.1,0.001,down,0.1660552714967867,0.16605527158448208,0.02169858643648277,-0.07046230379071536,-0.0031966858376187707,0.16605527158448213,-5.022091261891923,62,9.904778795477576e-07,true,false,-5.58159e-18,0.166055,,,1.17,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.1,0.001,up,0.16606351096578287,0.16606351092335003,0.021699671226604822,-0.07046580124416943,-0.0031968204416944757,0.16606351092335006,-5.021792472288328,60,9.374391258254455e-07,true,false,4.16983e-17,0.166064,,,1.08,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.15,0.001,down,0.1388035639883435,0.13880356404272134,0.01799834496230199,-0.05889403034271755,-0.0021992437114662783,0.13880356404272137,-6.204425959064113,75,9.992094285871111e-07,true,false,1.65837e-16,0.138804,,,1.43,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,3.15,0.001,up,0.13881285537130725,0.13881285534745968,0.017999557673342652,-0.05889797464106252,-0.0021993679700331725,0.13881285534745968,-6.203943737753394,72,9.338911541312278e-07,true,false,1.17151e-16,0.138813,,,1.29,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
