Nb,U_over_D,route,Z,Z_single_point,Z_converged,Z_by_npts,docc,ekin,etot,n_imp,chi2_normalized,scipy_cost_half,chi2_common_norm,fit_rel_rms,dDelta,iters,fixed_point_converged,fit_optimizer_converged,bath_approximation_quality,Z_estimator_converged,accuracy_qualified,accepted,temperature_semantics,T_over_D,bath_fit_beta,eps,V,wall,direction,code_commit,dirty
1,1.0,cg,0.23442297347291108,0.22959692385793176,0,2:0.23666;3:0.22933;4:0.23019;6:0.23442,0.04775885021121642,-0.28822898094614663,-0.2404701307349302,1.0,6.7042748364322895,3.3521374182161447,0.0127936287320296,0.5172634989864221,0.0,5,1,1,coarse,0,0,1,ground_state,0,200,0,0.0908348,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.5,cg,0.5631090868747102,0.5570108522623314,1,2:0.56623;3:0.55664;4:0.55773;6:0.56311,0.11086061801420416,-0.38123245614399437,-0.32580214713689226,1.0,10.443412204702128,5.221706102351064,0.017490492933721645,0.5804033031665584,0.0,8,1,1,coarse,1,0,1,ground_state,0,200,0,0.0932978,0.02,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.4,cg,0.669847755421316,0.6644235868273689,1,2:0.67266;3:0.66409;4:0.66506;6:0.66985,0.13226576039125915,-0.39586053147504396,-0.3429542273185403,0.9999999999999997,11.096929277344998,5.548464638672499,0.018314144725609972,0.5892177986963241,0.0,5,1,1,coarse,1,0,1,ground_state,0,200,0,0.0936608,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.3,cg,0.7836947171625,0.7795585496625268,1,2:0.78585;3:0.77930;4:0.78004;6:0.78369,0.15726324407624007,-0.40784622940384546,-0.36066725618097345,1.0000000000000004,11.570166476214979,5.7850832381074895,0.01891525253057115,0.5952906121735543,0.0,12,1,1,coarse,1,0,1,ground_state,0,200,0,0.0938801,0.03,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.2,cg,0.8911163042376619,0.8887593452187587,1,2:0.89235;3:0.88861;4:0.88904;6:0.89112,0.18579122997987355,-0.4167650880951138,-0.3796068420991391,1.0,11.960293556825773,5.9801467784128866,0.01941019585673924,0.6001162101378453,0.0,5,1,1,coarse,1,0,1,ground_state,0,200,0,0.0940735,0.02,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.1,cg,0.9704188751936613,0.9697228533597507,1,2:0.97078;3:0.96968;4:0.96980;6:0.97042,0.2171062833442967,-0.4222600739091567,-0.40054944557472705,0.9999999999999996,12.187430104704191,6.0937150523520955,0.01969934370165118,0.6028543062159235,0.0,5,1,1,coarse,1,0,1,ground_state,0,200,0,0.094177,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.0,cg,1.000000000000001,1.0000000000000142,1,2:1.00000;3:1.00000;4:1.00000;6:1.00000,0.25,-0.4241164756700874,-0.4241164756700874,1.0,12.264180423482214,6.132090211741107,0.019797123387276173,0.6037680328394238,0.0,3,1,1,coarse,1,0,1,ground_state,0,200,0,0.0942115,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.0,cg,0.9999999999999829,0.9999999999998517,1,2:1.00000;3:1.00000;4:1.00000;6:1.00000,0.2499999999999998,-0.4241164756700946,-0.4241164756700946,0.9999999999999994,0.09431286549528477,0.047156432747642384,0.00047156432747642385,0.13748956329511092,0.0,3,1,1,good,1,1,1,ground_state,0,200,0;0.248405;-0.248405,0.0899541;0.318298;0.318298,0.08,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.1,cg,0.9965602242927779,0.9962404883253958,1,2:0.99651;3:0.99626;4:0.99634;6:0.99656,0.24170949133651187,-0.42370320698109953,-0.39953225784744834,0.9999999999999992,0.09438392312363827,0.04719196156181914,0.00047191961561819136,0.1376109290364903,7.729979434323297e-09,6,1,1,good,1,1,1,ground_state,0,200,0;0.248379;-0.248379,0.0899534;0.318194;0.318194,0.16,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.2,cg,0.9863232163538512,0.9850618747010581,1,2:0.98611;3:0.98513;4:0.98545;6:0.98632,0.23342078236919914,-0.4224636113116212,-0.37577945483778136,1.0000000000000022,0.09460283397878426,0.04730141698939213,0.0004730141698939213,0.1379841822968136,7.856622685764595e-09,10,1,1,good,1,1,1,ground_state,0,200,0;0.248303;-0.248303,0.0899512;0.317874;0.317874,0.24,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
