lattice,N_b,U_over_D,direction,temperature_semantics,T_over_D,bath_fit_beta,llk_role,Z,docc,ekin,etot,n_imp,fit_cost_half_chi2,dDelta,iters,converged,bath_optimizer
bethe,3,1.8,up,ground_state,0,200,reproduction,0.2969560148581454,0.10073024201080855,-0.2886764186839023,-0.10736198306444691,0.9999999999999998,0.06254001252566184,9.252345334331858e-09,45,1,levenberg_marquardt
bethe,3,1.9,up,ground_state,0,200,reproduction,0.25067212375876374,0.09162273008607408,-0.27134048351643036,-0.09725729635288963,1.000000000000001,0.06349091804615387,8.81188055856802e-09,56,1,levenberg_marquardt
bethe,3,2.0,up,ground_state,0,200,reproduction,0.2030134992578219,0.0815418555094821,-0.2508051330393525,-0.08772142202038827,1.0000000000000013,0.06282074230972709,9.813293178064979e-09,78,1,levenberg_marquardt
bethe,3,2.05,up,ground_state,0,200,reproduction,0.17759630494749587,0.07572706537439164,-0.23831717343348235,-0.08307668941597951,1.0000000000000009,0.06091492960362945,9.600470640692016e-09,98,1,levenberg_marquardt
bethe,3,2.1,up,ground_state,0,200,reproduction,0.15070457871478551,0.06902134295008111,-0.22338649603434346,-0.07844167583917314,0.9999999999999979,0.05668363475956964,8.688306740722922e-09,126,1,levenberg_marquardt
bethe,3,2.15,up,ground_state,0,200,reproduction,0.1247822053584858,0.0616852357052315,-0.20653232362673163,-0.0739090668604839,1.0000000000000016,0.049341566094557324,0.0,136,1,levenberg_marquardt
bethe,3,2.2,up,ground_state,0,200,reproduction,0.1044193671156453,0.05505581241536801,-0.19092830881494283,-0.06980552150113319,1.0000000000000009,0.04078933833720329,9.77700831407847e-09,121,1,levenberg_marquardt
bethe,3,2.25,up,ground_state,0,200,reproduction,0.08970291690696588,0.0497116945008624,-0.17808290399064952,-0.06623159136370912,0.9999999999999994,0.033162124106502364,0.0,100,1,levenberg_marquardt
bethe,3,2.3,up,ground_state,0,200,reproduction,0.07861585247368981,0.04538384533704927,-0.16746839559329524,-0.06308555131808193,1.0000000000000009,0.02684581582698274,9.12663722376147e-09,90,1,levenberg_marquardt
bethe,3,2.35,up,ground_state,0,200,reproduction,0.06979844104554668,0.041773234114335284,-0.15843721099709776,-0.06027011082840984,1.0000000000000022,0.02166787666181296,0.0,80,1,levenberg_marquardt
bethe,3,2.4,up,ground_state,0,200,reproduction,0.0624966716062607,0.038682974574434134,-0.15055836635396883,-0.057719227375326906,1.0,0.017418678619445953,0.0,76,1,levenberg_marquardt
bethe,3,2.45,up,ground_state,0,200,reproduction,0.05627425103371507,0.035986734546582015,-0.14355510138342287,-0.055387601744296924,1.0000000000000004,0.013928058947286187,0.0,71,1,levenberg_marquardt
bethe,3,2.5,up,ground_state,0,200,reproduction,0.05085994003373959,0.03359993625050485,-0.13724229133809726,-0.05324245071183514,1.0000000000000002,0.011063262995721213,0.0,68,1,levenberg_marquardt
bethe,3,2.55,up,ground_state,0,200,reproduction,0.0460737005471267,0.0314631668512976,-0.13148996071040397,-0.0512588852395951,1.0000000000000016,0.008719166757159145,7.2153625299572675e-09,69,1,levenberg_marquardt
bethe,3,2.6,up,ground_state,0,200,reproduction,0.0417892618741391,0.02953287689443639,-0.12620282382321102,-0.04941734389767641,0.9999999999999996,0.006810586517020706,8.321749956179276e-09,69,1,levenberg_marquardt
bethe,3,2.65,up,ground_state,0,200,reproduction,0.03791385562267875,0.027775972226453838,-0.12130844932533917,-0.0477021229252365,0.9999999999999991,0.005267053901383169,0.0,69,1,levenberg_marquardt
bethe,3,2.7,up,ground_state,0,200,reproduction,0.03437653846712404,0.026166521819650915,-0.11675012184063442,-0.04610051292757694,0.9999999999999989,0.004029333927697246,0.0,72,1,levenberg_marquardt
bethe,3,2.75,up,ground_state,0,200,reproduction,0.031121053272897464,0.024683656011932936,-0.11248235312407136,-0.04460229909125578,1.0000000000000016,0.0030470628065614558,0.0,73,1,levenberg_marquardt
bethe,3,2.8,up,ground_state,0,200,reproduction,0.028101195858772392,0.023310159059005145,-0.10846795056151677,-0.04319950519630236,1.0000000000000002,0.0022770969304125614,0.0,77,1,levenberg_marquardt
bethe,3,2.85,up,ground_state,0,200,reproduction,0.025277614359826332,0.022031481992459287,-0.10467605299022696,-0.041886329311718,0.9999999999999997,0.0016823227180441773,0.0,83,1,levenberg_marquardt
bethe,3,2.9,up,ground_state,0,200,reproduction,0.022615392220072517,0.02083500498576886,-0.10108078645276447,-0.04065927199403478,0.999999999999999,0.0012307625696555899,0.0,90,1,levenberg_marquardt
bethe,3,2.95,up,ground_state,0,200,reproduction,0.020081994065057538,0.01970943988488173,-0.0976603560887974,-0.0395175084283963,1.0000000000000018,0.0008948801924616762,0.0,100,1,levenberg_marquardt
