M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,bare_native,insulator,2.0,0.001,D_occ,1.9636937434102614e-12,0.002635042519153579,1.0348833016963794e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.001,n,1.0000000000000004,-2.220446049250312e-16,-2.220446049250312e-16,0.001,1,
1,bare_native,insulator,2.0,0.001,Omega_over_D,-1.0042467567006241,4.145623383346924e-07,-4.145623383346924e-07,0.001,1,
1,bare_native,insulator,2.0,0.001,E_kin_over_D,-0.007106411452776367,0.0001171293627720514,-1.6647388901194077e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.001,E_pot_over_D,3.927387486820523e-12,0.002635042519153579,2.0697666033927589e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.001,E_tot_over_D,-0.00710641144884898,0.00011712936138044214,-1.664738869420687e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,Z_pole,8.02598421990691e-09,14.495357442216484,2.326790201862794e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,Z_mats,8.025984219906879e-09,14.495357442216484,2.3267902018627846e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,D_occ,4.1191055129423807e-14,-0.020040073050143267,-1.6509435076122633e-14,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,n,1.0000000000000002,-4.440892098500625e-16,-4.440892098500625e-16,0.001,1,
1,bare_native,insulator,2.0,0.01,Omega_over_D,-1.0104411266575823,-5.60342093513052e-07,5.60342093513052e-07,0.001,1,
1,bare_native,insulator,2.0,0.01,E_kin_over_D,-0.007018531717140564,-0.00016128860914508362,2.264018437796514e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,E_pot_over_D,8.238211025884761e-14,-0.020040073050143267,-3.3018870152245266e-14,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.01,E_tot_over_D,-0.007018531717058182,-0.0001612886089118009,2.264018434495335e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,Z_pole,1.278414743562816e-07,-0.7426217653976798,-1.898757227550081e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,Z_mats,1.2784147435628113e-07,-0.7426217653976797,-1.8987572275500737e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,D_occ,3.785993443243503e-12,-0.0030040079711972684,-2.274630896480815e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,n,0.9999999999999999,1.1102230246251568e-16,1.1102230246251568e-16,0.001,1,
1,bare_native,insulator,2.5,0.001,Omega_over_D,-1.2545410810299629,-5.7741003191215635e-08,5.7741003191215635e-08,0.001,1,
1,bare_native,insulator,2.5,0.001,E_kin_over_D,-0.007694842400945582,-1.882041297933774e-05,2.8964022359342922e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,E_pot_over_D,9.464983608108758e-12,-0.0030040079711973534,-5.686577241202199e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.001,E_tot_over_D,-0.007694842391480598,-1.882040930741715e-05,2.8964016672745896e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,Z_pole,1.2208426507843928e-08,1.3801616739748357,3.369920473132927e-07,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,Z_mats,1.2208426507843874e-08,1.3801616739748368,3.369920473132914e-07,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,D_occ,3.7827554852252195e-12,-0.0007436056853951372,-5.6257569705462285e-14,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,n,1.0,2.220446049250313e-16,2.220446049250313e-16,0.001,1,
1,bare_native,insulator,2.5,0.01,Omega_over_D,-1.2607330943053014,-2.4196388471903106e-07,2.4196388471903106e-07,0.001,1,
1,bare_native,insulator,2.5,0.01,E_kin_over_D,-0.007602256270388195,-8.022171532249041e-05,1.219732076663399e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,E_pot_over_D,9.456888713063049e-12,-0.0007436056853951372,-1.406439242636557e-13,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.5,0.01,E_tot_over_D,-0.007602256260931307,-8.022171449733356e-05,1.2197320625999958e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,Z_pole,4.8950170703048685e-09,70.76667205451979,6.928081354310817e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,Z_mats,4.895017070304847e-09,70.76667205451983,6.928081354310791e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,D_occ,2.3257267939639247e-12,-0.0010732878783760817,-4.992348752751895e-14,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,n,1.0,0.0,0.0,0.001,1,
1,bare_native,insulator,3.0,0.001,Omega_over_D,-1.5041945633286886,-4.66718343183254e-08,4.66718343183254e-08,0.001,1,
1,bare_native,insulator,3.0,0.001,E_kin_over_D,-0.007002059762210262,-2.0045635535081744e-05,2.8072147597625607e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,E_pot_over_D,6.977180381891775e-12,-0.0010732878783760817,-1.4977046258255685e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.001,E_tot_over_D,-0.0070020597552330815,-2.004563448566598e-05,2.807214610003883e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.01,Z_pole,2.7630623572575227e-09,64.25321374803146,3.5507127248001447e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.01,Z_mats,2.7630623572575107e-09,64.25321374803146,3.55071272480013e-06,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.01,D_occ,2.324076001620182e-12,0.00015035133826647273,6.988558741531748e-15,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,3.0,0.01,n,1.0,2.220446049250313e-16,2.220446049250313e-16,0.001,1,
1,bare_native,insulator,3.0,0.01,Omega_over_D,-1.510411663554656,3.5535992546363266e-07,-3.5535992546363266e-07,0.001,1,
1,bare_native,insulator,3.0,0.01,E_kin_over_D,-0.006959624925255238,0.00015419334578773447,-2.146255705305633e-05,0.001,1,near-Z=0: use scale-aware
