lattice,M_g,M_h,gauge,solver_route,quadrature,integration_nodes,Nk,n_eps,branch,U_over_D,T_over_D,U_raw,T_raw,Z_pole,Z_mats,D_occ,n,Omega,Omega_over_D,E_kin,E_kin_over_D,E_pot,E_pot_over_D,E_tot_over_D,resnorm,converged,dist_to_spinodal_UD,norm_error,roundtrip_error,floor_limited,equation_accepted,physical,gated,branch_continuous,selected
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,insulator,2.0,0.001,4.0,0.002,1.9141461585004435e-09,1.914146158500437e-09,0.033154754983289084,1.0,-2.129133738702329,-1.0645668693511645,-0.26154946640170323,-0.13077473320085162,0.13261901993315633,0.06630950996657817,-0.06446522323427345,7.33241902334645e-05,1,1.2,2.220446049250313e-16,9.754419494356625e-12,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,insulator,2.0,0.001,4.0,0.002,1.917513247018729e-09,1.9175132470187217e-09,0.0331545954506162,1.0000000000000004,-2.129133449868739,-1.0645667249343695,-0.2615482304109059,-0.13077411520545296,0.1326183818024648,0.0663091909012324,-0.06446492430422056,7.328743732853423e-05,1,1.2,0.0,8.946843266244286e-12,1,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,insulator,2.0,0.001,4.0,0.002,1.917107724489791e-09,1.9171077244897833e-09,0.03315407941839249,0.9999999999999999,-2.1291325126306546,-1.0645662563153273,-0.2615442188053881,-0.13077210940269404,0.13261631767356996,0.06630815883678498,-0.06446395056590906,7.316655421755994e-05,1,1.2,0.0,1.2144951710979512e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,insulator,2.5,0.001,5.0,0.002,5.744346355827918e-11,5.7443463558278936e-11,0.020782164139596805,0.9999999999999999,-2.6028623024726407,-1.3014311512363204,-0.20608763214818843,-0.10304381607409421,0.10391082069798402,0.05195541034899201,-0.051088405725102204,4.197488480989236e-05,1,0.7,2.220446049250313e-16,4.799427522073074e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,insulator,2.5,0.001,5.0,0.002,2.2569420496470445e-10,2.2569420496470375e-10,0.020791805331745485,0.9999999999999994,-2.6028851612792927,-1.3014425806396464,-0.2061826492690674,-0.1030913246345337,0.10395902665872743,0.051979513329363715,-0.05111181130516999,4.4838079187100406e-05,1,0.7,2.220446049250313e-16,4.543454501515498e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,insulator,2.5,0.001,5.0,0.002,9.022312375759875e-10,9.022312375759843e-10,0.020798444127112722,1.0,-2.6029009338485167,-1.3014504669242584,-0.20624846508655592,-0.10312423254327796,0.10399222063556361,0.051996110317781806,-0.051128122225496155,4.688323020417393e-05,1,0.7,0.0,4.086841975947664e-11,1,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,insulator,2.5,0.001,5.0,0.002,5.717618874009309e-11,5.717618874009281e-11,0.020789976337438863,1.0000000000000004,-2.6028809408693974,-1.3014404704346987,-0.20616472398404806,-0.10308236199202403,0.10394988168719432,0.05197494084359716,-0.05110742114842687,4.4297849361870034e-05,1,0.7,2.220446049250313e-16,8.044209742763542e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,insulator,3.0,0.001,6.0,0.002,1.1386939216605552e-09,1.138693921660551e-09,0.014292942948422564,0.9999999999999998,-3.0856710313002758,-1.5428355156501379,-0.1705543923711026,-0.0852771961855513,0.08575765769053538,0.04287882884526769,-0.042398367340283606,3.2974607409925485e-05,1,0.2,0.0,1.659516968288699e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,insulator,3.0,0.001,6.0,0.002,1.9497746546098167e-08,1.949774654609809e-08,0.014304983962857043,1.0,-3.085706223151398,-1.542853111575699,-0.1706996328672542,-0.0853498164336271,0.08582990377714225,0.042914951888571126,-0.042434864545055975,3.8000634036747647e-05,1,0.2,4.440892098500626e-16,8.404832385622285e-12,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,insulator,3.0,0.001,6.0,0.002,1.9675182103524917e-08,1.9675182103524818e-08,0.014305134186896641,1.0000000000000004,-3.0857064887889862,-1.5428532443944931,-0.17070090059256673,-0.08535045029628337,0.08583080512137985,0.04291540256068992,-0.042435047735593444,3.803979276513018e-05,1,0.2,2.220446049250313e-16,1.0486278512189529e-11,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,insulator,3.0,0.001,6.0,0.002,4.6903779468039344e-09,4.690377946803911e-09,0.014297064119617295,0.9999999999999997,-3.0856830142792795,-1.5428415071396397,-0.17060378755825564,-0.08530189377912782,0.08578238471770377,0.04289119235885189,-0.042410701420275934,3.4620978794143816e-05,1,0.2,0.0,1.468469790211202e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,noninteracting,0.0,0.01,0.0,0.02,1.0,1.0,0.25,1.0,nan,nan,-0.8054419490340057,-0.40272097451700284,0.0,0.0,-0.40272097451700284,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,noninteracting,0.0,0.01,0.0,0.02,1.0,1.0,0.25,1.0,nan,nan,-0.809272413436074,-0.404636206718037,0.0,0.0,-0.404636206718037,0.0,1,3.2,,,,,,,,
