M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,continuum_nodes,value_Nk16,abs_Nk16,rel_Nk16,scaleaware_Nk16,value_Nk32,abs_Nk32,rel_Nk32,scaleaware_Nk32,value_Nk64,abs_Nk64,rel_Nk64,scaleaware_Nk64
1,R_native,insulator,3.0,0.001,Omega_over_D,-1.5050605985188348,4001,-1.5050606342728585,-3.5754023741674246e-08,2.375586988116001e-08,-2.375586988116001e-08,-1.505060640075655,-4.1556820207233613e-08,2.7611393353949103e-08,-2.7611393353949103e-08,-1.5050606838196714,-8.530083661639765e-08,5.667601470687904e-08,-5.667601470687904e-08
1,R_native,insulator,3.0,0.001,E_kin_over_D,-0.008733403627140554,4001,-0.008733475096947316,-7.14698067619951e-08,8.183499791523478e-06,-1.429396135239902e-06,-0.00873348669646782,-8.30693272658306e-08,9.511678471802035e-06,-1.6613865453166121e-06,-0.00873357413927173,-1.705121311767338e-07,1.9524132681425378e-05,-3.410242623534676e-06
1,R_native,insulator,3.0,0.001,E_pot_over_D,8.06158477315635e-12,4001,8.06829056815448e-12,6.705794998129387e-15,0.0008318209368037036,1.3411589996258774e-13,8.066811487250806e-12,5.2267140944557484e-15,0.000648348214591724,1.0453428188911497e-13,8.07034106061366e-12,8.756287457309658e-15,0.001086174456226838,1.7512574914619315e-13
1,R_native,insulator,3.0,0.001,E_tot_over_D,-0.00873340361907897,4001,-0.008733475088879025,-7.146980005555414e-08,8.183499031170553e-06,-1.4293960011110829e-06,-0.008733486688401008,-8.306932203910877e-08,9.511677882107241e-06,-1.6613864407821755e-06,-0.00873357413120139,-1.705121224198497e-07,1.9524131696759026e-05,-3.410242448396994e-06
1,R_native,insulator,3.0,0.01,Z_pole,4.072057691041282e-08,4001,3.990061714365153e-08,-8.199597667612894e-10,-0.02013625122662774,-1.639919533522579e-08,3.7561763588374195e-08,-3.158813322038623e-09,-0.07757290199959987,-6.317626644077246e-08,4.4136450494387744e-08,3.4158735839749258e-09,0.08388568736366403,6.831747167949852e-08
1,R_native,insulator,3.0,0.01,Z_mats,4.0720576910412666e-08,4001,3.990061714365135e-08,-8.199597667613159e-10,-0.020136251226628467,-1.6399195335226318e-08,3.756176358837405e-08,-3.1588133220386165e-09,-0.0775729019996,-6.317626644077233e-08,4.4136450494387545e-08,3.4158735839748795e-09,0.08388568736366321,6.831747167949759e-08
1,R_native,insulator,3.0,0.01,D_occ,2.632817186917212e-12,4001,2.6329311378285733e-12,1.1395091136112826e-16,4.3280981272594294e-05,2.279018227222565e-15,2.6305561124360464e-12,-2.2610744811657505e-15,-0.0008588042088152963,-4.522148962331501e-14,2.6288555522460034e-12,-3.9616346712087625e-15,-0.0015047131608281067,-7.923269342417525e-14
1,R_native,insulator,3.0,0.01,n,1.0,4001,1.0000000000000002,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,R_native,insulator,3.0,0.01,Omega_over_D,-1.5112848275429265,4001,-1.5112848395800675,-1.2037141061682632e-08,7.964839481153814e-09,-7.964839481153814e-09,-1.5112849291619384,-1.016190118718896e-07,6.724014561643127e-08,-6.724014561643127e-08,-1.5112849495342395,-1.2199131305123956e-07,8.072026584795083e-08,-8.072026584795083e-08
1,R_native,insulator,3.0,0.01,E_kin_over_D,-0.00870522688947415,4001,-0.00870525094997538,-2.4060501230271925e-08,2.7639143167381966e-06,-4.812100246054385e-07,-0.00870543002200788,-2.0313253372948592e-07,2.3334547888131654e-05,-4.062650674589718e-06,-0.008705470745752479,-2.438562783282222e-07,2.801262751957435e-05,-4.877125566564444e-06
1,R_native,insulator,3.0,0.01,E_pot_over_D,7.898451560751636e-12,4001,7.89879341348572e-12,3.4185273408419256e-16,4.328098127269657e-05,6.837054681683851e-15,7.89166833730814e-12,-6.783223443496848e-15,-0.0008588042088152452,-1.3566446886993695e-13,7.88656665673801e-12,-1.1884904013626691e-14,-0.0015047131608281578,-2.3769808027253383e-13
1,R_native,insulator,3.0,0.01,E_tot_over_D,-0.0087052268815757,4001,-0.008705250942076588,-2.40605008885314e-08,2.7639142799890246e-06,-4.81210017770628e-07,-0.008705430014116212,-2.031325405122547e-07,2.3334548688464107e-05,-4.062650810245094e-06,-0.008705470737865912,-2.4385629021281274e-07,2.801262891021552e-05,-4.877125804256255e-06
1,R_native,metal,2.0,0.001,Z_pole,0.5968492232427128,4001,0.5918659476721433,-0.004983275570569545,-0.008349303938933104,-0.008349303938933104,0.595528715164127,-0.001320508078585858,-0.0022124651036847616,-0.0022124651036847616,0.5965273932646831,-0.000321829978029764,-0.0005392148728639454,-0.0005392148728639454
1,R_native,metal,2.0,0.001,Z_mats,0.596849223242712,4001,0.5918659476721423,-0.004983275570569656,-0.008349303938933302,-0.008349303938933302,0.5955287151641261,-0.001320508078585858,-0.002212465103684765,-0.002212465103684765,0.5965273932646818,-0.00032182997803009705,-0.0005392148728645043,-0.0005392148728645043
1,R_native,metal,2.0,0.001,D_occ,0.09379980391696575,4001,0.09279242762644795,-0.0010073762905178085,-0.010739641752445097,-0.010739641752445097,0.09354236975284234,-0.00025743416412341014,-0.002744506420837491,-0.002744506420837491,0.09373772890665323,-6.207501031252338e-05,-0.0006617818771505529,-0.0006617818771505529
1,R_native,metal,2.0,0.001,n,0.9999999999999996,4001,1.0,4.440892098500626e-16,4.440892098500628e-16,4.440892098500628e-16,1.0000000000000002,6.661338147750939e-16,6.661338147750942e-16,6.661338147750942e-16,0.9999999999999993,-2.220446049250313e-16,-2.220446049250314e-16,-2.220446049250314e-16
1,R_native,metal,2.0,0.001,Omega_over_D,-1.0614410531183225,4001,-1.0600607232228718,0.0013803298954506715,-0.0013004301005651807,0.0013004301005651807,-1.0611342087168119,0.00030684440151063086,-0.00028908284695525703,0.00028908284695525703,-1.0613801487760348,6.090434228767094e-05,-5.7378920957263676e-05,5.7378920957263676e-05
1,R_native,metal,2.0,0.001,E_kin_over_D,-0.25095121101405066,4001,-0.24745971568044708,0.0034914953336035726,-0.013913044370238504,0.013913044370238504,-0.2500820616508006,0.0008691493632500547,-0.003463419681212024,0.003463419681212024,-0.2507433903560234,0.000207820658027269,-0.0008281317200562671,0.0008281317200562671
